id,author,title,dynasty,genre,lines,line_char_counts,meter_pattern,total_lines,total_chars,is_regular,regular_meter,poem_type
,陈师道,菩萨蛮,宋代,词,"['银潢清', '浅填乌鹊', '画檐急', '雨长河落', '初月', '未成圆', '明星', '惜此筵', '愁来', '无断绝', '岁岁', '年年别', '不用', '泪红滋', '年年', '岁岁期']","[3, 4, 3, 4, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3]","3,4,3,4,2,3,2,3,2,3,2,3,2,3,2,3",16,44,False,,词
bc5bcd61-07e0-4b16-b56d-8265a2c13fa8,杜稜,碧流院(题拟),唐代,诗,"['石骨生泉冷', '流來澗沼湄', '幽禽鳴竹砌', '遊客步階陲', '滃鬱杉松碧', '陰稠煙靄緇', '古風吟不足', '嗟恨老蒼髭', '見宋潛說友咸淳', '臨安志卷八十五', '按碧流院吳', '越王更名碧沼', '此詩不詳作', '年題仍舊名', '又稜約卒於乾寧天復間以', '其爲錢鏐佐屬故收歸吳越']","[5, 5, 5, 5, 5, 5, 5, 5, 7, 7, 5, 6, 5, 5, 11, 11]","5,5,5,5,5,5,5,5,7,7,5,6,5,5,11,11",16,97,False,,其他
232f945b-61d2-4c44-a382-efa15de48831,劉希夷,洛川怀古,唐代,诗,"['萋萋春草綠', '悲歌牧征馬', '行見白頭翁', '坐泣青竹下', '感歎前問之', '贈予辛苦詞', '歲月移今古', '山河更盛衰', '晉家都洛濱', '朝廷多近臣', '詞賦歸潘岳', '繁華稱季倫', '梓澤春草菲', '河陽亂華飛', '綠珠不可奪', '白首同所歸', '高樓倏冥滅', '茂林久摧折', '昔時歌舞臺', '今成狐兔穴', '人事互消亡', '世路多悲傷', '北邙是吾宅', '東嶽爲吾鄉', '君看北邙道', '髑髏縈蔓草', '芳', '碑塋或半存', '荆棘斂幽魂', '揮涕棄之去', '不忍聞此言']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5]","5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5",31,151,False,,其他
7a946353-ce0b-4da9-9888-dd81594a35b7,釋普度,偈颂一百二十三首 其一二二,宋代,诗,"['學道先須有悟由賊無種相皷儱', '還如曾鬭快龍舟碧眼胡僧笑不休', '雖然舊閣閑田', '地物見主眼卓豎', '一度贏來方始休', '綠楊影裏戴嵩牛', '如是安居', '如是禁足', '知投身於火悉皆成', '火似鎔像爲金莫不']","[13, 14, 6, 7, 7, 7, 4, 4, 8, 8]","13,14,6,7,7,7,4,4,8,8",10,78,False,,其他
39241e50-f1d2-4f7f-bfbe-9c5d202f3618,岳珂,己亥八月廿一日除书予拜太平兴国宫祠官呈赵季茂,宋代,诗,"['世間何物最是閒', '司諫拂衣歸華山', '倦來忘記省不得', '依約此語祥符間', '終南捷徑本自錯', '老子新司紫元鑰', '官家雇我作閒人', '有酒醉呼端不惡', '歲糜廩粟月俸錢', '豢鶴有料芝有田', '人生何必待有用', '我老得此寧非天', '君不見當年把臂龍', '圖上司諫放歸元未放', '又不見倦翁山行醉', '復醒說著拂衣今亦忘']","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 9, 8, 9]","7,7,7,7,7,7,7,7,7,7,7,7,8,9,8,9",16,118,False,,其他
97082d71-8b24-462d-9329-a39cd89a970e,程珌,太上虚皇黄庭经句法十篇寿赵帅 其七,宋代,诗,"['喬松落澗節輪囷詩書萬', '卷終經綸日華隔霧光難晨', '公獨知其墮凡塵', '何當一爲問大鈞']","[10, 11, 7, 7]","10,11,7,7",4,35,False,,其他
0595da1c-b0d0-4c4b-b407-e18675795e10,釋正覺,偈颂二百零五首 其三四,宋代,诗,"['不居功不合伴', '脫體其間過一遍', '夢覺船浮明月波', '眼寒雪擁蘆華岸']","[6, 7, 7, 7]","6,7,7,7",4,27,False,,其他
607c47df-9f78-4aae-89bc-c745f6bfdb47,易靜,"兵要望江南 占兽第二十(京本列第二十二,前六首另作「占牛马第十八」○三十四首) 十九",唐代,诗,"['軍營側驀', '地有豪猪', '須備伏兵來犯京本作賊兵來劫', '我便宜先舉莫躊躇移寨始無虞']","[4, 4, 13, 13]","4,4,13,13",4,34,False,,其他
,向子諲,浣溪沙,宋代,词,"['雨点春', '山入翠眉', '一杨柳', '作腰肢', '语音娇', '软带儿痴', '犹省当来求识面', '隔帘清唱倒琼彝', '真成相', '见说当时']","[3, 4, 3, 3, 3, 4, 7, 7, 3, 4]","3,4,3,3,3,4,7,7,3,4",10,41,False,,词
,陈允平,蝶恋花,宋代,词,"['落尽樱', '桃春去后', '舞絮飞绵', '扑簌穿帘牖', '异别情', '怀愁对酒', '翠条折', '赠劳亲手', '绣幕深', '沉寒尚透', '雨雨晴晴', '妆点西湖秀', '怅望章', '台愁转首', '画阑十', '二东风旧']","[3, 4, 4, 5, 3, 4, 3, 4, 3, 4, 4, 5, 3, 4, 3, 4]","3,4,4,5,3,4,3,4,3,4,4,5,3,4,3,4",16,60,False,,词
